DATA_DATE,FINANCIAL_TYPE,SYMBOL,SECURITY_NAME,INST_ID,PRICE,QUANTITY,REALISED_PL,MARKET_VALUE,SOURCE
2023-07-31,Equities,TJX,TJX Companies,,86.2,38539.381096288744,2180.6575310888256,3322094.65050009,applebead
2023-07-31,Equities,SYY,Sysco,,76.31,170706.77313931944,41768.40245784994,13026633.858261466,applebead
2023-07-31,Equities,PNR,Pentair,,69.5,312836.2483362473,-7253.145322134589,21742119.259369187,applebead
2023-07-31,Equities,AXP,American Express,,168.88,312443.18310728925,246666.97676086013,52765404.76315901,applebead
2023-07-31,Equities,COP,ConocoPhillips,,117.21,276083.27802556637,-68298.4065466747,32359721.01737663,applebead
2023-07-31,Equities,DGX,Quest Diagnostics,,135.21,204049.6968783235,20057.398119633286,27589559.514918122,applebead
2023-07-31,Equities,WYNN,Wynn Resorts,,108.69,75956.74346600813,-7443.554094277166,8255738.447320424,applebead
2023-07-31,Equities,STT,State Street Corporation,,72.44,103277.20320716365,-117.0967268232387,7481400.600326935,applebead
2023-07-31,Equities,META,Meta Platforms,,318.6,294722.3341296123,-18813.20320012254,93898535.6536945,applebead
2023-07-31,Equities,ANSS,Ansys,,342.1,280172.59110536467,-35417.582359178916,95847043.41714527,applebead
2023-07-31,Equities,MHK,Mohawk Industries,,106.34,201201.71459539828,-16712.93098960443,21395790.330074653,applebead
2023-07-31,Equities,GOOG,Alphabet Inc. (Class C),,133.11,83912.99133718718,172635.59886295645,11169658.276892986,applebead
2023-07-31,Equities,TEL,TE Connectivity,,142.84,10511.277351952795,5691.32289379616,1501430.8569529373,applebead
2023-07-31,Equities,NWL,Newell Brands,,11.16,96161.41445544474,21254.005351338186,1073161.3853227634,applebead
2023-07-31,Equities,MMC,Marsh McLennan,,188.42,119871.6027713104,26506.41068075936,22586207.394170303,applebead
2023-07-31,Equities,SO,Southern Company,,71.6,247016.7056516377,104464.72753059829,17686396.12465726,applebead
2023-07-31,Equities,CRL,Charles River Laboratories,,209.54,264604.4230353949,-36909.078181268,55445210.80283665,applebead
2023-07-31,Equities,GWW,W. W. Grainger,,736.56,28908.755524084063,16974.10943669384,21293032.968819357,applebead
2023-07-31,Equities,QRVO,Qorvo,,110.02,272978.52688400354,381287.6612726371,30033097.52777807,applebead
2023-07-31,Equities,MCO,Moody's Corporation,,351.93,170727.02770828348,35603.164847313754,60083962.8613762,applebead
2023-07-31,Equities,EBAY,eBay,,44.51,165678.15442381473,-3765.2610748831294,7374334.653403994,applebead
2023-07-31,Equities,REGN,Regeneron,,741.91,169363.00907961276,457632.6014865774,125652110.0662555,applebead
2023-07-31,Equities,AVY,Avery Dennison,,184.01,150317.9121633663,-67236.94054190378,27659999.01718103,applebead
2023-07-31,Equities,BK,BNY Mellon,,45.36,193942.9834429177,10288.160615708512,8797253.728970747,applebead
2023-07-31,Equities,IFF,International Flavors & Fragrances,,84.61,232932.8177135625,-33588.14116377982,19708445.70674452,applebead
2023-07-31,Equities,CPRT,Copart,,44.2,119104.03900161141,-36405.47786189201,5264398.523871224,applebead
2023-07-31,Equities,LEN,Lennar,,126.83,297172.08204879175,19069.465694531824,37690335.166248254,applebead
2023-07-31,Equities,TPR,"Tapestry, Inc.",,43.15,233931.19917541402,7221.465910363275,10094131.244419115,applebead
2023-07-31,Equities,ACGL,Arch Capital Group,,77.69,184501.18952928382,-20185.471345939477,14333897.41453006,applebead
2023-07-31,Equities,HAL,Halliburton,,39.08,49918.651122387135,-27930.49676551317,1950820.8858628892,applebead
2023-07-31,Equities,PTC,PTC,,145.81,25842.29817696881,-8264.623683656211,3768065.497183822,applebead
2023-07-31,Equities,ROK,Rockwell Automation,,334.96,257770.93233861204,-12119.479578442106,86342951.49614148,applebead
2023-07-31,Equities,LLY,Eli Lilly and Company,,453.58,56191.237948432026,-15996.045839334813,25487221.7086498,applebead
2023-07-31,Equities,LYV,Live Nation Entertainment,,87.75,25561.266032593034,-6550.327602964012,2243001.0943600386,applebead
2023-07-31,Equities,AZO,AutoZone,,2481.72,272018.86118678644,93936.89312344395,675074648.1844716,applebead
2023-07-31,Equities,EW,Edwards Lifesciences,,82.07,218137.9100108129,-703854.2783839833,17902578.27458741,applebead
2023-07-31,Equities,CAG,Conagra Brands,,32.81,133990.7252199792,-11177.146306644907,4396235.6944675185,applebead
2023-07-31,Equities,CPB,Campbell Soup Company,,45.82,145503.7597952775,4824.279652570772,6666982.273819615,applebead
2023-07-31,Equities,ENPH,Enphase,,151.83,93898.59932899564,138606.2087495181,14256624.336121408,applebead
2023-07-31,Equities,DRI,Darden Restaurants,,168.92,179478.05642620687,-4163.421593845585,30317433.291514862,applebead
2023-07-31,Equities,IEX,IDEX Corporation,,225.81,300371.77648237353,237154.73492454406,67826950.84748477,applebead
2023-07-31,Equities,ARE,Alexandria Real Estate Equities,,125.68,189874.76887245695,115941.62563402895,23863460.95189039,applebead
2023-07-31,Equities,WAT,Waters Corporation,,276.21,133382.6661808719,115374.77198365759,36841626.22581862,applebead
2023-07-31,Equities,LYB,LyondellBasell,,97.59,55119.43367408598,-55772.770114231425,5379105.532254051,applebead
2023-07-31,Equities,TFC,Truist,,32.67,150529.42471947495,-25587.027312494472,4917796.3055852465,applebead
2023-07-31,Equities,SLB,Schlumberger,,58.34,180126.41361814892,102516.39096045213,10508574.970482808,applebead
2023-07-31,Equities,DAL,Delta Air Lines,,46.26,33235.74331156949,-1485.6831827655233,1537485.4855932044,applebead
2023-07-31,Equities,HOLX,Hologic,,79.42,294089.6953271267,68019.14140245531,23356603.602880403,applebead
2023-07-31,Equities,SEDG,SolarEdge,,241.46,163327.99146870832,-443769.9366935279,39437176.82003431,applebead
2023-07-31,Equities,EXR,Extra Space Storage,,139.57,185110.4089864047,179060.67516523777,25835859.782232504,applebead
2023-07-31,Equities,BR,Broadridge Financial Solutions,,167.92,102472.92803121735,20360.18810176364,17207254.075002015,applebead
2023-07-31,Equities,ODFL,Old Dominion,,419.49,106304.83929709786,375174.7479652589,44593817.03673958,applebead
2023-07-31,Equities,XYL,Xylem Inc.,,112.75,60623.612790058374,-1290.216043008018,6835312.342079082,applebead
2023-07-31,Equities,PEP,PepsiCo,,187.46,28885.125193626038,14126.21154780628,5414805.568797138,applebead
2023-07-31,Equities,CSCO,Cisco,,52.04,134792.78505244508,-2218.634847896354,7014616.5341292415,applebead
2023-07-31,Equities,FOXA,Fox Corporation (Class A),,33.45,169304.77719384118,5012.425609588088,5663244.797133988,applebead
2023-07-31,Equities,BBY,Best Buy,,83.05,124831.44034637476,13507.265677880732,10367251.120766424,applebead
2023-07-31,Government Bond,NL0011819040,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,104.35,27545.518234435225,314.2111508888359,2874374.8277633158,applebead
2023-07-31,Government Bond,SE0008014062,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,122.48,7256.184563603242,-3.991381954106206,888737.4853501251,applebead
2023-07-31,Government Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,124.46,3658.379483220912,13.272008490456548,455321.91048167465,applebead
2023-07-31,Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,2805872,231.82,1883.2894094421395,-49.30940735254542,436584.15089687676,applebead
2023-07-31,Government Bond,GB00B421JZ66,UNITED KINGDOM I/L GILT 0.5% 03/22/2050 REGS,B421JZ6,311.68,3674.3374263795276,-312.94394386736093,1145217.4890539711,applebead
2023-07-31,Government Bond,AU0000XCLWV6,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,B3SSHY9,161.35,2388.478724229606,87.9119530431256,385381.04215444694,applebead
2023-07-31,Government Bond,GB00BNNGP882,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,BNNGP88,213.04,1543.6396105934516,-170.89432259016647,328856.98264082894,applebead
2023-07-31,Government Bond,GB00BYMWG366,UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,219.91,4374.537575584358,453.74263571096174,962004.5582467561,applebead
2023-07-31,Government Bond,US912810FH69,TSY INFL IX N/B 3.875% 04/15/2029,2407096,234.38,7370.76222948169,-31.435013570085566,1727559.2513459185,applebead
