DATA_DATE,FINANCIAL_TYPE,SYMBOL,SECURITY_NAME,INST_ID,PRICE,QUANTITY,REALISED_PL,MARKET_VALUE,SOURCE
2023-07-31,Equities,HSIC,Henry Schein,,78.79,8459.291769217836,-566.9147215085072,666507.5984966734,belaware
2023-07-31,Equities,JNPR,Juniper Networks,,27.8,9368.339854668038,-65.1566144951087,260439.84795977146,belaware
2023-07-31,Equities,CRL,Charles River Laboratories,,209.54,9114.153027316168,-1432.4714781145033,1909779.6253438299,belaware
2023-07-31,Equities,ACN,Accenture,,316.35,3751.4913161013856,4051.9296709699365,1186784.2778486735,belaware
2023-07-31,Equities,LEN,Lennar,,126.83,3485.4067647355464,977.0893399484494,442054.13997140934,belaware
2023-07-31,Equities,CTSH,Cognizant,,65.75,778.7528479777344,51.47972928720311,51202.99975453604,belaware
2023-07-31,Equities,COF,Capital One,,116.4,9158.232245659707,-7852.861677686838,1066018.23339479,belaware
2023-07-31,Equities,PG,Procter & Gamble,,156.3,7912.056436301012,-10372.735487416106,1236654.4209938482,belaware
2023-07-31,Equities,APTV,Aptiv,,109.49,5660.697865295251,-6691.6251560534965,619789.809271177,belaware
2023-07-31,Equities,ROL,"Rollins, Inc.",,40.7,7321.828039627193,-794.8292685636112,297998.4012128268,belaware
2023-07-31,Equities,SWKS,Skyworks Solutions,,114.37,848.9330940237137,-539.4789897343818,97092.47796349214,belaware
2023-07-31,Equities,PNW,Pinnacle West,,82.82,7307.015023394738,-480.03368257750503,605166.9842375522,belaware
2023-07-31,Equities,RSG,Republic Services,,151.11,6439.973799991044,1803.0919114983728,973144.4409166467,belaware
2023-07-31,Equities,ADP,ADP,,247.26,3699.53247936159,498.8031668208219,914746.4008469468,belaware
2023-07-31,Equities,SPGI,S&P Global,,393.59,1300.8866819527434,334.6918723188457,512015.98914978025,belaware
2023-07-31,Equities,CTAS,Cintas,,500.66,6349.030009824361,-866.2540945047297,3178705.3647186644,belaware
2023-07-31,Equities,WHR,Whirlpool Corporation,,142.4,2296.31737465865,-62.550509839873044,326995.59415139176,belaware
2023-07-31,Equities,LYB,LyondellBasell,,97.59,8430.545322062275,-5688.118270961708,822736.9179800574,belaware
2023-07-31,Equities,WST,West Pharmaceutical Services,,368.04,6654.782525936849,-1820.9121765953573,2449226.160845798,belaware
2023-07-31,Equities,TROW,T. Rowe Price,,123.26,8995.658892744137,-9712.400976412735,1108804.9151196424,belaware
2023-07-31,Equities,KMB,Kimberly-Clark,,129.1,1034.392323795048,-1122.457471131135,133540.0490019407,belaware
2023-07-31,Equities,ARE,Alexandria Real Estate Equities,,125.68,2199.2131555639826,-3709.090473135059,276397.1093912813,belaware
2023-07-31,Equities,APD,Air Products and Chemicals,,305.33,5935.861469570094,-879.2521330959792,1812396.5825038368,belaware
2023-07-31,Equities,ALK,Alaska Air Group,,48.63,6778.357598375387,1354.048284967822,329631.5300089951,belaware
2023-07-31,Equities,CARR,Carrier Global,,59.55,4691.678054207578,-1433.0123897621547,279389.42812806123,belaware
2023-07-31,Equities,HSY,Hershey's,,230.05,8288.02584784737,-6616.64117478389,1906660.3462972876,belaware
2023-07-31,Equities,ICE,Intercontinental Exchange,,114.8,6958.819184343599,-183.86731363190472,798872.4423626452,belaware
2023-07-31,Equities,CLX,Clorox,,150.37,2246.4608800787014,2581.033142122533,337800.32253743435,belaware
2023-07-31,Equities,AAL,American Airlines Group,,16.75,7565.646421968854,953.3355389522021,126724.57756797831,belaware
2023-07-31,Equities,FOX,Fox Corporation (Class B),,31.41,9427.15545870572,-774.83469523608,296106.9529579467,belaware
2023-07-31,Equities,TPR,"Tapestry, Inc.",,43.15,4923.492096134139,504.27558678519813,212448.68394818806,belaware
2023-07-31,Equities,PKG,Packaging Corporation of America,,153.35,9983.663086758605,-47680.80150223876,1530994.734354432,belaware
2023-07-31,Equities,WM,Waste Management,,163.79,9069.094270787218,7810.901960080157,1485426.9506122384,belaware
2023-07-31,Equities,LIN,Linde plc,,390.67,7275.75309552494,-13258.31754643526,2842418.4618287287,belaware
2023-07-31,Equities,ETR,Entergy,,102.7,711.494557675314,-201.37905751805238,73070.49107325476,belaware
2023-07-31,Equities,GPN,Global Payments,,110.25,8689.669821491632,17191.984640329374,958036.0978194524,belaware
2023-07-31,Equities,JNJ,Johnson & Johnson,,166.32,5419.285015504158,-146.7927928428286,901335.4837786515,belaware
2023-07-31,Equities,EQR,Equity Residential,,65.94,2374.2139827366495,11.999342771297165,156555.67002165466,belaware
2023-07-31,Equities,EIX,Edison International,,71.96,9246.700536262579,-6296.506439334821,665392.5705894551,belaware
2023-07-31,Equities,LLY,Eli Lilly and Company,,453.58,2195.8947200787093,-2635.8772852180114,996013.9271333009,belaware
2023-07-31,Equities,AOS,A. O. Smith,,72.32,7029.855693361181,-232.6962926459171,508399.1637438805,belaware
2023-07-31,Equities,AON,Aon,,318.5,6442.802466383612,-19142.52703459502,2052032.5855431806,belaware
2023-07-31,Equities,ECL,Ecolab,,183.14,644.8726340171579,480.91659964939174,118101.9741939023,belaware
2023-07-31,Equities,RF,Regions Financial Corporation,,20.37,4761.971580179761,-338.7777793041556,97001.36108826174,belaware
2023-07-31,Equities,FE,FirstEnergy,,38.98,3092.6919146861933,127.52487692427495,120553.13083446781,belaware
2023-07-31,Equities,FICO,Fair Isaac,,837.97,4432.67016646696,-19225.623857638246,3714444.6193943187,belaware
2023-07-31,Equities,HCA,HCA Healthcare,,272.81,2602.27979181087,2873.4466137482823,709927.9500039234,belaware
2023-07-31,Equities,CBOE,Cboe Global Markets,,139.68,8136.963734491658,-2263.4528690093443,1136571.094433795,belaware
2023-07-31,Equities,PH,Parker Hannifin,,408.49,3220.5649607954174,-12345.446263475736,1315568.58083532,belaware
2023-07-31,Equities,CVX,Chevron Corporation,,162.1,7948.372647937034,705.5007168740985,1288431.2062305931,belaware
2023-07-31,Equities,TJX,TJX Companies,,86.2,2439.2399921403417,-137.5401551057271,210262.48732249744,belaware
2023-07-31,Equities,A,Agilent Technologies,,121.77,1017.6635441047298,210.37015189612504,123920.88976563295,belaware
2023-07-31,Equities,INVH,Invitation Homes,,35.23,615.0700181378719,1.3073836188961576,21668.916738997224,belaware
2023-07-31,Equities,LYV,Live Nation Entertainment,,87.75,1338.3023752254526,720.940104463218,117436.03342603346,belaware
2023-07-31,Equities,AAP,Advance Auto Parts,,74.39,1554.373839172179,-1213.904357440667,115629.8698960184,belaware
2023-07-31,Equities,DHR,Danaher Corporation,,255.06,5719.943266699998,-3329.70217346301,1458928.7296045015,belaware
2023-07-31,Equities,NTRS,Northern Trust,,80.12,4972.109175050913,3830.9751758512903,398365.3871050792,belaware
2023-07-31,Equities,PCG,PG&E Corporation,,17.61,7477.607928733052,443.80576264866926,131680.67562498903,belaware
2023-07-31,Equities,COO,CooperCompanies,,391.26,1809.9799973641382,-673.1536339465104,708172.7737686926,belaware
2023-07-31,Equities,KIM,Kimco Realty,,20.26,8637.577714250421,617.4239083691416,174997.32449071354,belaware
2023-07-31,Equities,PEG,Public Service Enterprise Group,,63.12,1222.8901209986807,76.07313444236851,77188.82443743672,belaware
2023-07-31,Equities,PTC,PTC,,145.81,6829.7600307717685,1068.2913417116092,995847.3100868316,belaware
2023-07-31,Equities,WFC,Wells Fargo,,45.8,7791.793135822675,-1837.4087324369284,356864.1256206785,belaware
2023-07-31,Equities,CMCSA,Comcast,,45.26,8540.626756232385,-2832.2646961055216,386548.7669870777,belaware
2023-07-31,Equities,GRMN,Garmin,,105.89,2531.3065862814615,-799.6230084995668,268040.05442134396,belaware
2023-07-31,Equities,MKTX,MarketAxess,,268.5,636.5798770665103,-664.8765362797872,170921.69699235802,belaware
