DATA_DATE,FINANCIAL_TYPE,SYMBOL,SECURITY_NAME,INST_ID,PRICE,QUANTITY,REALISED_PL,MARKET_VALUE,SOURCE
2023-05-31,Equities,ATO,Atmos Energy,,114.55,1201.1129637374218,-321.94695208420916,137587.48999612167,rpt_catalysm
2023-05-31,Equities,MKTX,MarketAxess,,271.68,9478.830398830329,16575.5853537552,2575208.6427542237,rpt_catalysm
2023-05-31,Equities,CHD,Church & Dwight,,92.19,7334.004105847808,462.7285920548252,676121.8385181094,rpt_catalysm
2023-05-31,Equities,WYNN,Wynn Resorts,,98.44,1944.0730226072662,4290.171133214802,191374.54834545928,rpt_catalysm
2023-05-31,Equities,GOOG,Alphabet Inc. (Class C),,123.37,1833.5896389666543,1244.2795608197214,226209.95375931615,rpt_catalysm
2023-05-31,Equities,NVR,"NVR, Inc.",,5554.22,1970.039768429644,20197.98085639563,10942034.282607298,rpt_catalysm
2023-05-31,Equities,NEM,Newmont,,40.55,5361.404420615654,-5422.313374403383,217404.94925596475,rpt_catalysm
2023-05-31,Equities,IT,Gartner,,342.86,5162.6564184023655,27443.59464519158,1770068.3796134351,rpt_catalysm
2023-05-31,Equities,MA,Mastercard,,364.49,1647.5132249257865,-1480.318166470207,600502.0953532,rpt_catalysm
2023-05-31,Equities,APH,Amphenol,,75.26,742.6187366295096,0.3849721037621898,55889.486118736895,rpt_catalysm
2023-05-31,Equities,MOS,Mosaic Company (The),,31.96,8693.792528005391,-4835.348081589176,277853.6091950523,rpt_catalysm
2023-05-31,Equities,RTX,RTX Corporation,,91.5,9158.095797088228,14799.443529781398,837965.7654335729,rpt_catalysm
2023-05-31,Equities,LMT,Lockheed Martin,,444.01,9772.984531106375,31115.776919501324,4339302.861656541,rpt_catalysm
2023-05-31,Equities,COF,Capital One,,103.66,8159.57071076786,-7793.956829144205,845821.0998781964,rpt_catalysm
2023-05-31,Equities,ODFL,Old Dominion,,310.04,2962.316032196194,-3890.2366439365846,918436.462622108,rpt_catalysm
2023-05-31,Equities,PXD,Pioneer Natural Resources,,199.44,382.0183536052525,-1381.9198874986687,76189.74044303157,rpt_catalysm
2023-05-31,Equities,FITB,Fifth Third Bank,,23.97,8857.07583667007,60.23681152983517,212304.10780498158,rpt_catalysm
2023-05-31,Equities,DHI,D.R. Horton,,106.62,4003.28650826894,-532.5335849257227,426830.4075116344,rpt_catalysm
2023-05-31,Equities,ORCL,Oracle Corporation,,105.57,7710.958418906557,3625.5504360020627,814045.8802839651,rpt_catalysm
2023-05-31,Equities,NSC,Norfolk Southern Railway,,206.96,942.9289444812534,-1282.2583880434236,195148.57434984023,rpt_catalysm
2023-05-31,Equities,HUM,Humana,,500.87,1489.871579060485,-1349.7456716246738,746231.977804025,rpt_catalysm
2023-05-31,Equities,UDR,"UDR, Inc.",,39.29,3539.7413683929994,-1261.0937835869863,139076.43836416095,rpt_catalysm
2023-05-31,Equities,QCOM,Qualcomm,,113.41,2669.008641631749,-425.2336875651509,302692.27004745667,rpt_catalysm
2023-05-31,Equities,META,Meta Platforms,,264.72,3387.419754754452,-16744.612721891313,896717.7574785986,rpt_catalysm
2023-05-31,Equities,USB,U.S. Bank,,29.46,7760.88007850011,-5380.826968868534,228635.52711261326,rpt_catalysm
2023-05-31,Equities,MO,Altria,,43.51,194.37645198131173,-62.14493413107319,8457.319425706874,rpt_catalysm
2023-05-31,Equities,ANET,Arista Networks,,166.34,6762.299199121227,4448.9483319181145,1124840.8487818248,rpt_catalysm
2023-05-31,Equities,DD,DuPont,,66.88,9549.096833114594,-2331.3621792700023,638643.596198704,rpt_catalysm
2023-05-31,Equities,KMB,Kimberly-Clark,,133.11,8656.427588522609,20832.19105477203,1152257.0763082446,rpt_catalysm
2023-05-31,Equities,ACN,Accenture,,304.81,2959.158801473099,-15852.698324561572,901981.1942770154,rpt_catalysm
2023-05-31,Equities,IDXX,Idexx Laboratories,,464.77,2317.348275748563,-5537.375727175906,1077033.9581196597,rpt_catalysm
2023-05-31,Equities,BR,Broadridge Financial Solutions,,146.05,4419.026842830327,593.3099481508372,645398.8703953694,rpt_catalysm
2023-05-31,Equities,TJX,TJX Companies,,76.5,1689.8864118965546,-245.15469912032222,129276.31051008642,rpt_catalysm
2023-05-31,Equities,FE,FirstEnergy,,37.0,703.4749831634456,99.43553756824403,26028.574377047487,rpt_catalysm
2023-05-31,Equities,BA,Boeing,,205.7,5579.7160947004295,-719.5335381822924,1147747.6006798784,rpt_catalysm
2023-05-31,Equities,SPGI,S&P Global,,366.58,8556.095259587333,1966.0161043272556,3136493.4002595246,rpt_catalysm
2023-05-31,Equities,EA,Electronic Arts,,128.0,709.5367348740032,-15.112042190813861,90820.7020638724,rpt_catalysm
2023-05-31,Equities,TEL,TE Connectivity,,121.92,8555.389641494334,-410.94049055669075,1043073.1050909891,rpt_catalysm
2023-05-31,Equities,SBAC,SBA Communications,,220.92,2731.628144954672,-10062.696551341103,603471.289783386,rpt_catalysm
2023-05-31,Equities,DFS,Discover Financial,,101.93,9249.320729706886,-26.469539737923455,942783.2619790229,rpt_catalysm
2023-05-31,Equities,ALGN,Align Technology,,282.66,2958.4761569924303,2644.906040352833,836242.8705354804,rpt_catalysm
2023-05-31,Equities,PSA,Public Storage,,280.35,1826.494074701237,-2956.8141802375694,512057.6138424918,rpt_catalysm
